year,Foreign,Domestic
2000,6409632030,7465918278
2001,9058730241,9883656770
2002,9388981972,10511956790
2003,10268606288,11122085740
2004,10754151764,10514265476
2005,10362689286,9510994388
2006,8200811425,6647067485
2007,10164482632,8133880070
2008,11247233062,9061096732
2009,11380975835,8394655145
2010,13056193754,9937467621
2011,12740868568,8839931731
2012,11695550785,7619990826
2013,14018161423,10020504581
2014,13636742264,9233229807
